page-links,page-links-href,title,authors,conference,link
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,On the necessity of irrelevant variables,"David P. Helmbold, Philip M. Long",ICML (2011),
Networking,http://research.google.com/pubs/Networking.html,End-to-end Verification of QoS Policies,"Adel El-Atawy, Taghrid Samak",The 13th IEEE/IFIP Network Operations and Management Symposium (NOMS 2012),/pubs/archive/37516.pdf
Mobile Systems,http://research.google.com/pubs/MobileSystems.html,Bimanual gesture keyboard,"Xiaojun Bi, Ciprian Chelba, Tom Ouyang, Kurt Partridge, Shumin Zhai","Proceeding of UIST 2012 - The ACM Symposium on User Interface Software and Technology, ACM, New York, NY, USA, pp. 137-146",
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Who's calling? The impact of Caller ID on telephone survey response,"Mario Callegaro, Allan L. McCutcheon, Jack Ludwig","Field Methods, vol. 22 (2010), pp. 175-191",
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,"Applications and Extensions of Alloy: Past, Present, and Future","Emina Torlak, Mana Taghdiri, Greg Dennis, Joseph Near","Mathematical Structures in Computer Science, vol. 23 (2013), pp. 915-933",/pubs/archive/37040.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Learning Better Monolingual Models with Unannotated Bilingual Text,"David Burkett, Slav Petrov, John Blitzer, Dan Klein",Fourteenth Conference on Computational Natural Language Learning (CoNLL '10) (2010),/pubs/archive/36498.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Group Sparse Coding,"Samy Bengio, Fernando Pereira, Yoram Singer, Dennis Strelow",Advances in Neural Information Processing Systems (2009),/pubs/archive/35313.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,A Pushdown Transducer Extension for the OpenFst Library,"Cyril Allauzen, Michael Riley","CIAA, Springer (2012), pp. 66-77",/pubs/archive/40342.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Language Modeling for Automatic Speech Recognition Meets the Web: Google Search by Voice,"Ciprian Chelba, Johan Schalkwyk, Boulos Harb, Carolina Parada, Cyril Allauzen, Leif Johnson, Michael Riley, Peng Xu, Preethi Jyothi, Thorsten Brants, Vida Ha, Will Neveitt",University of Toronto (2012),/pubs/archive/40380.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Older adult's perceptions of usefulness of personal health records,"Margaux M. Price, Richard Pak, Hendrik Muller, Aideen Stronge",Universal Access in the Information Society (2012),/pubs/archive/38134.pdf
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,How Many Millenials Visit YouTube? Estimating Unobserved Events From Incomplete Panel Data Conditioned on Demographic Covariates,"Georg M. Goerg, Yuxue Jin, Nicolas Remy, Jim Koehler","TBD, Google, Inc. (2015), pp. 1-27 (to appear)",/pubs/archive/43451.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Gesturemote: interacting with remote displays through touch gestures,"Hao Lu, Matei Negulescu, Yang Li",AVI 2014: International Working Conference on Advanced Visual Interfaces,
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Written-Domain Language Modeling for Automatic Speech Recognition,"Hasim Sak, Yun-hsuan Sung, Francoise Beaufays, Cyril Allauzen",Interspeech (2013),/pubs/archive/41226.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Reducing Photon Mapping Bandwidth by Query Reordering,"Joshua Steinhurst, Greg Coombe, Anselmo Lastra","IEEE Transactions on Visualization and Computer Graphics, vol. 14 (2008)",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Differences in search engine evaluations between query owners and non-owners,"Alexandra Chouldechova, David Mease","WSDM 2013, ACM, pp. 103-112",/pubs/archive/41891.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Tracking Large-Scale Video Remix in Real-World Events,"Lexing Xie, Apostol Natsev, Xuming He, John R. Kender, Matthew L. Hill, John R. Smith","IEEE Transactions on Multimedia, vol. 15, no. 6 (2013), pp. 1244-1254",/pubs/archive/41769.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Half Transductive Ranking,"Bing Bai, Jason Weston, David Grangier, Ronan Collobert, Corinna Cortes, Mehryar Mohri",Thirteenth International Conference on Artificial Intelligence and Statistics (AISTATS 2010),/pubs/archive/36470.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Computing Socially-Efficient Cake Divisions,"Yonatan Aumann, Yair Dombb, Avinatan Hassidim",COMSOC (2012),
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Automatic Alignment of Large-scale Aerial Rasters to Road-maps,"James Xiaqing Wu, Rodrigo Carceroni, Hui Fang, Steve Zelinka, Andrew Kirmse","ACM GIS 2007, ACM",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,An efficient reconciliation algorithm for social networks.,"Nitish Korula, Silvio Lattanzi","PVLDB (2014), pp. 377-388",
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,Testable JavaScript,Mark Ethan Trostler,"O'Reilly Media, 1005 Gravenstein Highway North Sebastopol, CA 95472 (2013)",
General Science,http://research.google.com/pubs/GeneralScience.html,The Politics of Search: A Decade Retrospective.,Laura Ann Granka,"The Information Society Journal, vol. 26 (2010), pp. 364-374",/pubs/archive/36914.pdf
Networking,http://research.google.com/pubs/Networking.html,Diagnosing performance changes by comparing request flows,"Raja R. Sambasivan, Alice X. Zheng, Michael De Rosa, Elie Krevat, Spencer Whitman, Michael Stroucken, William Wang, Lianghong Xu, Gregory R. Ganger",8th USENIX Symposium on Networked Systems Design and Implementation (NSDI) (2011),/pubs/archive/36986.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Mathematics at Google,Javier Tordable,"Google, Inc. (2012), pp. 52",/pubs/archive/38331.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Refer-to-as Relations as Semantic Knowledge,"Song Feng, Sujith Ravi, Ravi Kumar, Polina Kuznetsova, Wei Liu, Alex Berg, Tamara Berg, Yejin Choi",AAAI Conference on Artificial Intelligence (2015) (to appear),
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,The mobile revolution: using technology to transform fieldwork,"Patrick Larvie, Jens Riegelsberger, Olga Khroustaleva, Yelena Nakhimovsky","Proceedings of EPIC (Ethnographic Practice in Industry Conference) (2009), pp. 295-297",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Tradeoffs in Retrofitting Security: An Experience Report,Mark S. Miller,"Dynamic Languages Symposium, ACM (2007)",/pubs/archive/33421.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,Using Bezier Curve to Improve the Accuracy in Integrated Circuit Design Analysis,"Eric Y. Chen, May Huang","International Conference on Convergence and Hybrid Information Technology, ACM Press (2010)",/pubs/archive/36625.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Learning Fine-grained Image Similarity with Deep Ranking,"Jiang Wang, Yang Song, Thomas Leung, Chuck Rosenberg, Jingbin Wang, James Philbin, Bo Chen, Ying Wu","CVPR'2014, IEEE",/pubs/archive/42945.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Street View Motion-from-Structure-from-Motion,"Bryan Klingner, David Martin, James Roseborough","Proceedings of the International Conference on Computer Vision, IEEE (2013)",/pubs/archive/41413.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Reduce and aggregate: similarity ranking in multi-categorical bipartite graphs,"Alessandro Epasto, Jon Feldman, Silvio Lattanzi, Stefano Leonardi, Vahab Mirrokni","WWW (2014), pp. 349-360",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Rademacher Complexity Bounds for Non-I.I.D. Processes,"Mehryar Mohri, Afshin Rostamizadeh","Advances in Neural Information Processing Systems (NIPS 2008), MIT Press, Vancouver, Canada (2009)",/pubs/archive/35078.pdf
Mobile Systems,http://research.google.com/pubs/MobileSystems.html,Google's C/C++ toolchain for smart handheld devices,"Doug Kwan, Jing Yu, Bhaskar Janakiraman","VLSI Design, Automation, and Test (VLSI-DAT), 2012 International Symposium on, IEEE",/pubs/archive/40355.pdf
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,Large Language Models in Machine Translation,"Thorsten Brants, Ashok C. Popat, Peng Xu, Franz J. Och, Jeffrey Dean","Proceedings of the 2007 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning (EMNLP-CoNLL), pp. 858-867",/pubs/archive/33278.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Understanding Visualization: A Formal Approach using Category Theory and Semiotics,"Joe Faith, Paul Vickers, Nick Rossiter",IEEE Transactions on Visualization and Computer Graphics (2012) (to appear),
General Science,http://research.google.com/pubs/GeneralScience.html,A dynamical perspective on additional planets in 55 Cancri,"Sean N. Raymond, Rory Barnes, Noel Gorelick","The Astrophysical Journal, vol. 689, Issue 1 (2008), pp. 478-491",/pubs/archive/34553.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Garbage Modeling for On-device Speech Recognition,"Christophe Van Gysel, Leonid Velikovich, Ian McGraw, Francoise Beaufays","Interspeech 2015, International Speech Communications Association (to appear)",/pubs/archive/43847.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,The Semantic Vectors Package: New Algorithms and Public Tools for Distributional Semantics,"Dominic Widdows, Trevor Cohen","Fourth IEEE International Conference on Semantic Computing (IEEE ICSC2010), IEEE",
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,Using Actors to Implement Sequential Simulations,Ryan Harrison,"University of Saskatchewan, Saskatchewan, Canada (2015)",/pubs/archive/43437.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Aesthetics and Emotions in Images,"Dhiraj Joshi, Ritendra Datta, Elena Fedorovskaya, Quang-Tuan Luong, James Z. Wang, Jia Li, Jiebo Luo","IEEE Signal Processing Magazine, vol. vol. 28, no. 5 (2011), pp. 94-115",/pubs/archive/37213.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,FastEx: Hash Clustering with Exponential Families,"Amr Ahmed, Sujith Ravi, Shravan Narayanamurthy, Alex Smola",Proceedings of the 26th Conference on Neural Information Processing Systems. (NIPS) (2012),
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Decision Tree State Clustering with Word and Syllable Features,"Hank Liao, Chris Alberti, Michiel Bacchiani, Olivier Siohan","Interspeech, ISCA (2010), 2958 - 2961",/pubs/archive/36828.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,The Difficulty of Training Deep Architectures and the Effect of Unsupervised Pre-Training,"Dumitru Erhan, Pierre-Antoine Manzagol, Yoshua Bengio, Samy Bengio, Pascal Vincent","Twelfth International Conference on Artificial Intelligence and Statistics (AISTATS), JMLR Workshop and Conference Procedings (2009), pp. 153-160",/pubs/archive/34923.pdf
Mobile Systems,http://research.google.com/pubs/MobileSystems.html,GyroPen: Gyroscopes for Pen-input with Mobile Phones,"Thomas Deselaers, Daniel Keysers, Jan Hosang, Henry Rowley","IEEE Transactions on Human-Machine Systems, vol. 45 (2015), pp. 263-271",/pubs/archive/43127.pdf
Networking,http://research.google.com/pubs/Networking.html,Using transparent WDM metro rings to provide an out-of-band control network for OpenFlow in MAN,"Rafael Sanchez, Jose Alberto Hernandez, David Larrabeiti","ICTON 2013, 15th International Conference on Tranparent Optical Networks (ICTON'13),",/pubs/archive/42530.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Audiovisual Celebrity Recognition in Unconstrained Web Videos,"Mehmet Emre Sargin, Hrishikesh Aradhye, Pedro Moreno, Ming Zhao","Proceedings of the IEEE Conference on Acoustics, Speech, and Signal Processing (ICASSP) (2009)",/pubs/archive/35286.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,'You've Got IMs!' How People Manage Concurrent Instant Messages,"Shailendra Rao, Judy Chen, Robin Jeffries, Richard Boardman","Proceedings of the 13th International Conference on Human-Computer Interaction. Part I, Springer-Verlag, Berlin, Heidelberg (2009), pp. 500-509",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Evaluation of Dependency Parsers on Unbounded Dependencies,"Joakim Nivre, Laura Rimell, Ryan McDonald, Carlos Gomez Rodriguez",International Conference on Computational Linguistics (2010),/pubs/archive/36743.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Table Detection in Heterogeneous Documents,"Faisal Shafait, Ray Smith","Document Analysis Systems 2010, ACM International Conference Proceedings series",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Clinching Auctions with Online Supply,"Gagan Goel, Vahab Mirrokni, Renato Paes Leme","SODA (2013), pp. 605-619",
Data Management,http://research.google.com/pubs/DataManagement.html,Threshold query optimization for uncertain data,"Yinian Qi, Rohit Jain, Sarvjeet Singh, Sunil Prabhakar",Special Interest Group on Management of Data (SIGMOD) (2010),
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Monitoring the Effects of Temporal Clipping on VoIP Speech Quality,"Andrew Hines, Jan Skoglund, Anil Kokaram, Naomi Harte","Interspeech 2013, pp. 1188-1192",
